runNr,nrSteps,timeUnit,meanReward
1,60000,1,0.3362195193767548
1,120000,2,1.323395609855652
1,180000,3,1.969241857528687
1,240000,4,3.945492506027222
1,300000,5,4.199936866760254
1,360000,6,3.992111682891846
1,420000,7,4.32927942276001
1,480000,8,4.267970561981201
1,540000,9,4.562010288238525
2,60000,1,-1.0
2,120000,2,-1.0
2,180000,3,0.8608870506286621
2,240000,4,3.65244460105896
2,300000,5,3.928200721740723
2,360000,6,4.333226680755615
2,420000,7,4.59364652633667
3,60000,1,-0.3728229105472565
3,120000,2,-0.3632535636425018
3,180000,3,0.296779453754425
3,240000,4,2.111090183258057
3,300000,5,2.401728391647339
3,360000,6,2.732847929000854
3,420000,7,2.932116985321045
3,480000,8,3.402900695800781
3,540000,9,3.328945398330688
3,600000,10,4.338558197021484
3,660000,11,4.4289870262146
3,720000,12,4.142956256866455
3,780000,13,4.420785427093506
3,840000,14,4.732508182525635
4,60000,1,0.256714940071106
4,120000,2,0.615669846534729
4,180000,3,3.858561038970947
4,240000,4,4.380143642425537
4,300000,5,4.799614429473877
5,60000,1,2.09508204460144
5,120000,2,4.38224458694458
5,180000,3,4.688079357147217
5,240000,4,4.855161666870117
6,60000,1,0.2414194941520691
6,120000,2,2.471173763275146
6,180000,3,2.812518119812012
6,240000,4,2.709951639175415
6,300000,5,2.239439964294434
6,360000,6,3.510141611099243
6,420000,7,2.980485200881958
6,480000,8,3.459118843078613
6,540000,9,3.666492223739624
6,600000,10,3.768369436264038
6,660000,11,4.057840824127197
6,720000,12,4.104859352111816
6,780000,13,4.221580982208252
6,840000,14,4.430043697357178
6,900000,15,4.387222766876221
6,960000,16,4.473686218261719
6,1020000,17,4.603471755981445
6,1080000,18,4.592781543731689
6,1140000,19,4.755093097686768
7,60000,1,-0.2641189694404602
7,120000,2,-0.4273681640625
7,180000,3,0.1384270042181015
7,240000,4,0.5681220889091492
7,300000,5,0.451625645160675
7,360000,6,0.4219567477703094
7,420000,7,0.3572588264942169
7,480000,8,0.776948094367981
7,540000,9,1.498622179031372
7,600000,10,1.427437663078308
7,660000,11,1.508948445320129
7,720000,12,2.282082557678223
7,780000,13,1.989305973052979
7,840000,14,2.20059061050415
7,900000,15,2.261656761169434
7,960000,16,2.59481406211853
7,1020000,17,3.063081741333008
7,1080000,18,4.160552501678467
7,1140000,19,3.941527843475342
7,1200000,20,4.561478137969971
8,60000,1,-0.5359429121017456
8,120000,2,2.126897573471069
8,180000,3,3.198318004608154
8,240000,4,4.39394474029541
9,60000,1,-0.1203189268708229
9,120000,2,1.076059937477112
9,180000,3,0.09974846243858337
9,240000,4,0.2651915550231934
9,300000,5,1.670030236244202
9,360000,6,2.141805648803711
9,420000,7,2.426994323730469
9,480000,8,2.980099201202393
9,540000,9,3.125869512557983
9,600000,10,2.390422821044922
9,660000,11,2.222603321075439
9,720000,12,2.847812652587891
9,780000,13,2.524755954742432
9,840000,14,2.785256624221802
9,900000,15,2.769240379333496
9,960000,16,3.75469183921814
9,1020000,17,4.119016170501709
9,1080000,18,4.508121967315674
10,60000,1,-0.0006205542595125735
10,120000,2,1.025272965431213
10,180000,3,1.794597983360291
10,240000,4,2.940615177154541
10,300000,5,3.743696689605713
10,360000,6,4.174187183380127
10,420000,7,4.317294120788574
11,60000,1,1.267051815986633
11,120000,2,4.106211185455322
11,180000,3,4.679172515869141
12,60000,1,1.13289201259613
12,120000,2,2.159949064254761
12,180000,3,3.594821453094482
12,240000,4,4.248408317565918
12,300000,5,4.005746364593506
12,360000,6,3.981755018234253
12,420000,7,4.309117317199707
13,60000,1,-1.0
13,120000,2,1.68987774848938
13,180000,3,3.950917720794678
13,240000,4,4.666206359863281
14,60000,1,-0.514485776424408
14,120000,2,0.6022229790687561
14,180000,3,4.380665302276611
15,60000,1,2.465197324752808
15,120000,2,4.649526596069336
16,60000,1,0.3327666223049164
16,120000,2,-0.1362817138433456
16,180000,3,0.2831599712371826
16,240000,4,1.080411791801453
16,300000,5,2.533906936645508
16,360000,6,3.990869760513306
16,420000,7,4.744885921478271
17,60000,1,0.7425910830497742
17,120000,2,1.594796180725098
17,180000,3,4.509881496429443
18,60000,1,0.1399999558925629
18,120000,2,-0.1467108577489853
18,180000,3,1.187719941139221
18,240000,4,2.222575426101685
18,300000,5,3.476648569107056
18,360000,6,2.647615909576416
18,420000,7,3.598134517669678
18,480000,8,3.626905918121338
18,540000,9,3.882317543029785
