run_id,config_name,total_ram_mb,cpu_cores,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,num_layers,hidden_units,gamma,strength,time_horizon,summary_freq,keep_checkpoints,max_steps,cpu_avg_unity,cpu_peak_unity,ram_avg_unity,ram_peak_unity,cpu_avg_python,cpu_peak_python,ram_avg_python,ram_peak_python,duration_sec
run_1765459990,sample_1001.yaml,11700.625,6,348,3476,0.0003,0.01,0.3,0.99,3,2,159,0.999,0.5,88,4595,5,50000,35.93172413793103,89.8,157.81764547413792,162.5859375,281.0606896551727,303.3,501.63313577586206,544.6171875,72.29834508895874
run_1765460085,sample_1002.yaml,11700.625,6,660,12577,0.0003,0.01,0.3,0.99,6,3,342,0.999,0.5,30,4085,5,50000,27.643820224719097,77.8,159.11249122191012,165.8125,274.2016853932588,303.8,544.9633734199438,562.6015625,88.89444065093994
run_1765460240,sample_1003.yaml,11700.625,6,412,6600,0.0003,0.01,0.3,0.99,10,4,383,0.999,0.5,20,3241,5,50000,17.207973421926912,89.1,158.23093594269102,159.5703125,280.92956810631233,303.3,535.9887484426911,545.67578125,150.6463325023651
run_1765460344,sample_1004.yaml,11700.625,6,916,11622,0.0003,0.01,0.3,0.99,8,1,118,0.999,0.5,89,2264,5,50000,32.45736040609134,95.8,161.15714229060913,166.40234375,258.371065989848,303.4,527.9793583439086,542.046875,98.42263078689575
run_1765460462,sample_1005.yaml,11700.625,6,89,6996,0.0003,0.01,0.3,0.99,6,1,390,0.999,0.5,40,4845,5,50000,25.989333333333313,93.8,157.1840625,162.796875,280.4591111111115,303.4,509.0790104166667,520.30859375,112.62468099594116
run_1765460540,sample_1006.yaml,11700.625,6,401,15364,0.0003,0.01,0.3,0.99,1,1,212,0.999,0.5,23,3366,5,50000,43.15931034482756,87.8,160.1933459051724,163.5703125,281.5275862068969,305.3,517.5806034482758,538.56640625,72.36498761177063
run_1765460627,sample_1007.yaml,11700.625,6,688,12968,0.0003,0.01,0.3,0.99,5,4,78,0.999,0.5,124,1453,5,50000,34.6743902439024,97.5,160.495712652439,163.46484375,267.1024390243908,304.9,530.1121141387196,556.48828125,81.80796003341675
run_1765460792,sample_1008.yaml,11700.625,6,307,4103,0.0003,0.01,0.3,0.99,9,4,467,0.999,0.5,90,1793,5,50000,16.188749999999988,93.8,157.72882080078125,164.40625,287.98499999999973,306.3,540.1956665039063,551.26953125,160.16507625579834
run_1765460877,sample_1009.yaml,11700.625,6,592,8777,0.0003,0.01,0.3,0.99,5,1,399,0.999,0.5,88,880,5,50000,34.480503144654065,93.6,154.76569870283018,163.34375,271.58301886792475,303.4,519.6771079009434,535.26171875,79.36189270019531
run_1765460977,sample_1010.yaml,11700.625,6,309,12524,0.0003,0.01,0.3,0.99,9,2,146,0.999,0.5,22,4878,5,50000,28.078306878306876,85.7,157.77531828703704,159.3515625,267.85978835978864,303.7,519.6206390542328,532.26953125,94.38803911209106
run_1765461050,sample_1011.yaml,11700.625,6,953,3611,0.0003,0.01,0.3,0.99,1,3,96,0.999,0.5,63,589,5,50000,42.77185185185184,97.7,157.04574652777777,159.83203125,284.3392592592594,302.3,509.3757523148148,518.8671875,67.32755041122437
run_1765461137,sample_1012.yaml,11700.625,6,129,6293,0.0003,0.01,0.3,0.99,2,2,314,0.999,0.5,120,3293,5,50000,37.01646341463413,87.4,158.17251810213415,161.484375,282.85182926829305,303.4,508.9602229420732,526.8671875,81.91173887252808
run_1765461224,sample_1013.yaml,11700.625,6,72,10180,0.0003,0.01,0.3,0.99,2,2,355,0.999,0.5,75,1467,5,50000,31.922560975609755,95.7,156.51169493140245,166.3828125,281.56829268292717,302.5,558.4842797256098,586.609375,81.83118963241577
run_1765461325,sample_1014.yaml,11700.625,6,513,1460,0.0003,0.01,0.3,0.99,6,2,367,0.999,0.5,55,4898,5,50000,28.38743455497382,87.8,160.90291639397907,166.93359375,291.9219895287963,303.4,504.83458769633506,512.703125,95.38975143432617
run_1765461403,sample_1015.yaml,11700.625,6,1012,1287,0.0003,0.01,0.3,0.99,2,3,297,0.999,0.5,69,2835,5,50000,36.96344827586205,69.9,158.11799568965517,161.40625,289.83517241379366,305.4,531.4772090517241,544.19140625,72.31662559509277
run_1765461494,sample_1016.yaml,11700.625,6,336,7307,0.0003,0.01,0.3,0.99,4,2,194,0.999,0.5,86,1309,5,50000,38.02383720930228,87.8,157.7590843023256,159.62109375,276.1482558139539,302.1,511.6678324854651,526.59375,85.96419405937195
run_1765461588,sample_1017.yaml,11700.625,6,392,8998,0.0003,0.01,0.3,0.99,6,3,153,0.999,0.5,17,3666,5,50000,27.392737430167593,71.6,158.91814333100558,162.17578125,275.12625698324064,304.8,514.4132768854748,533.0078125,89.36961221694946
run_1765461743,sample_1018.yaml,11700.625,6,247,13320,0.0003,0.01,0.3,0.99,10,3,391,0.999,0.5,111,885,5,50000,21.04563758389258,97.8,155.21237940436242,163.453125,271.5550335570469,304.5,543.3439072986578,566.44140625,149.20819973945618
run_1765461851,sample_1019.yaml,11700.625,6,896,1766,0.0003,0.01,0.3,0.99,6,2,297,0.999,0.5,18,704,5,50000,30.64009900990096,95.8,158.87880956064356,164.40234375,288.18712871287187,303.4,514.6596728032179,524.14453125,101.00959539413452
run_1765461962,sample_1020.yaml,11700.625,6,624,4266,0.0003,0.01,0.3,0.99,9,3,142,0.999,0.5,51,4423,5,50000,28.134433962264133,89.3,157.37658461084905,165.68359375,285.9518867924534,305.4,509.8754237912736,518.31640625,105.92697405815125
run_1765462046,sample_1021.yaml,11700.625,6,965,9199,0.0003,0.01,0.3,0.99,5,3,200,0.999,0.5,94,1440,5,50000,34.234810126582275,83.9,156.54655359968353,165.1171875,273.5063291139242,303.4,540.103985363924,568.74609375,78.80813598632812
run_1765462115,sample_1022.yaml,11700.625,6,389,1305,0.0003,0.01,0.3,0.99,2,2,148,0.999,0.5,48,3469,5,50000,38.53858267716532,73.8,160.0369094488189,164.66796875,289.7740157480316,305.3,492.24686269685037,500.6328125,63.31868124008179
run_1765462219,sample_1023.yaml,11700.625,6,563,8177,0.0003,0.01,0.3,0.99,3,3,412,0.999,0.5,20,542,5,50000,29.59035532994921,95.3,159.2383010786802,165.6328125,282.991370558376,303.4,537.6639831852792,557.88671875,98.43552827835083
run_1765462320,sample_1024.yaml,11700.625,6,499,5916,0.0003,0.01,0.3,0.99,9,2,134,0.999,0.5,86,2645,5,50000,27.338219895287956,97.4,159.09242064790575,161.08984375,270.2947643979061,302.8,513.4689954188482,523.734375,95.40147471427917
run_1765462419,sample_1025.yaml,11700.625,6,80,10235,0.0003,0.01,0.3,0.99,4,2,244,0.999,0.5,33,761,5,50000,27.175935828876998,79.4,157.10208472593584,165.43359375,281.55133689839613,303.4,511.4747869318182,522.2734375,93.40283417701721
run_1765462540,sample_1026.yaml,11700.625,6,172,6609,0.0003,0.01,0.3,0.99,7,3,242,0.999,0.5,17,1983,5,50000,24.80521739130431,91.8,157.40018682065218,165.58984375,280.7960869565223,304.0,508.0898267663043,525.53125,115.01242232322693
run_1765462622,sample_1027.yaml,11700.625,6,894,12639,0.0003,0.01,0.3,0.99,6,2,159,0.999,0.5,70,1208,5,50000,32.22091503267974,87.7,158.32904411764707,161.38671875,268.90718954248393,303.3,528.3297845179738,551.2109375,76.3182921409607
run_1765462765,sample_1028.yaml,11700.625,6,305,12677,0.0003,0.01,0.3,0.99,10,3,407,0.999,0.5,114,4558,5,50000,20.853956834532358,73.8,155.8205092176259,164.1328125,271.46115107913676,304.1,548.1364377248201,563.22265625,139.06930112838745
run_1765462877,sample_1029.yaml,11700.625,6,611,2645,0.0003,0.01,0.3,0.99,7,4,220,0.999,0.5,85,4881,5,50000,29.956338028168982,93.3,159.1916629988263,167.85546875,289.5417840375593,306.5,516.9338321596244,535.1484375,106.50671362876892
run_1765462966,sample_1030.yaml,11700.625,6,657,6429,0.0003,0.01,0.3,0.99,5,2,504,0.999,0.5,96,2178,5,50000,28.20535714285715,95.8,154.63834635416666,163.01953125,275.7327380952385,305.2,565.9370349702381,597.671875,83.8007185459137
run_1765463049,sample_1031.yaml,11700.625,6,134,2458,0.0003,0.01,0.3,0.99,3,2,177,0.999,0.5,65,1114,5,50000,32.962179487179476,95.8,158.09735576923077,161.34765625,287.8801282051286,303.3,491.35334034455127,503.17578125,77.77735352516174
run_1765463143,sample_1032.yaml,11700.625,6,782,3597,0.0003,0.01,0.3,0.99,4,2,405,0.999,0.5,63,1950,5,50000,32.19385474860333,89.8,157.9519247555866,161.04296875,288.12290502793354,305.3,523.3976955307263,537.20703125,89.49374628067017
run_1765463224,sample_1033.yaml,11700.625,6,786,16362,0.0003,0.01,0.3,0.99,1,3,312,0.999,0.5,65,3605,5,50000,43.38999999999995,95.8,158.19408854166667,166.36328125,279.778666666667,304.4,547.6259375,580.5,74.89834189414978
